BJ-OC-bqnc-000001:1	OC01_00008:300-430
BJ-OC-bqnc-000002:1	OC01_00008:440-520
BJ-OC-bqnc-000003:1	OC01_00008:970-1040
BJ-OC-bqnc-000004:1	OC01_00008:1440-1680
BJ-OC-bqnc-000005:1	OC01_00012:760-840
BJ-OC-bqnc-000006:1	OC01_00016:10-40
BJ-OC-bqnc-000007:1	OC01_00018:250-460
BJ-OC-bqnc-000008:1	OC01_00019:600-730
BJ-OC-bqnc-000009:1	OC01_00019:840-890
BJ-OC-bqnc-000010:1	OC01_00020:140-280
BJ-OC-bqnc-000011:1	OC01_00020:550-880
BJ-OC-bqnc-000012:1	OC01_00021:10-120
BJ-OC-bqnc-000013:1	OC01_00021:180-220
BJ-OC-bqnc-000014:1	OC01_00021:500-650
BJ-OC-bqnc-000015:1	OC01_00022:10-150
BJ-OC-bqnc-000016:1	OC01_00024:730-760
BJ-OC-bqnc-000017:1	OC01_00025:1250-1500
BJ-OC-bqnc-000018:1	OC01_00027:650-670
BJ-OC-bqnc-000019:1	OC01_00028:10-200
BJ-OC-bqnc-000020:1	OC01_00029:110-260
BJ-OC-bqnc-000021:1	OC01_00029:630-690
BJ-OC-bqnc-000022:1	OC01_00031:250-780
BJ-OC-bqnc-000023:1	OC01_00034:490-580
BJ-OC-bqnc-000024:1	OC01_00034:590-780
BJ-OC-bqnc-000025:1	OC01_00034:790-1050
BJ-OC-bqnc-000026:1	OC01_00035:410-850
BJ-OC-bqnc-000027:1	OC01_00035:1050-1240
BJ-OC-bqnc-000028:1	OC01_00035:1250-1380
BJ-OC-bqnc-000029:1	OC01_00036:460-500
BJ-OC-bqnc-000030:1	OC01_00038:200-440
BJ-OC-bqnc-000031:1	OC01_00041:10-200
BJ-OC-bqnc-000032:1	OC01_00042:150-190
BJ-OC-bqnc-000033:1	OC01_00043:10-170
BJ-OC-bqnc-000034:1	OC01_00047:250-270
BJ-OC-bqnc-000035:1	OC01_00049:210-270
BJ-OC-bqnc-000036:1	OC01_00049:570-740
BJ-OC-bqnc-000037:1	OC01_00049:810-910
BJ-OC-bqnc-000038:1	OC01_00051:1590-1700
BJ-OC-bqnc-000039:1	OC01_00054:670-780
BJ-OC-bqnc-000040:1	OC01_00054:790-1060
BJ-OC-bqnc-000041:1	OC01_00058:80-190
BJ-OC-bqnc-000042:1	OC01_00058:1770-1880
BJ-OC-bqnc-000043:1	OC01_00062:440-490
BJ-OC-bqnc-000044:1	OC01_00063:10-120
BJ-OC-bqnc-000045:1	OC01_00065:520-1020
BJ-OC-bqnc-000046:1	OC01_00066:10-270
BJ-OC-bqnc-000047:1	OC01_00074:340-480
BJ-OC-bqnc-000048:1	OC01_00076:230-530
BJ-OC-bqnc-000049:1	OC01_00078:10-200
BJ-OC-bqnc-000050:1	OC01_05018:450-500
BJ-OC-bqnc-000051:1	OC01_05027:150-190
BJ-OC-bqnc-000052:1	OC01_05036:530-610
BJ-OC-bqnc-000053:1	OC01_05048:190-240
BJ-OC-bqnc-000054:1	OC01_05050:1200-1280
BJ-OC-bqnc-000055:1	OC01_05057:230-270
BJ-OC-bqnc-000056:1	OC01_05066:390-500
BJ-OC-bqnc-000057:1	OC01_05067:430-510
BJ-OC-bqnc-000058:1	OC01_05072:410-470
BJ-OC-bqnc-000059:1	OC02_00024:710-800
BJ-OC-bqnc-000060:1	OC02_00026:300-440
BJ-OC-bqnc-000061:1	OC02_00027:360-400
BJ-OC-bqnc-000062:1	OC02_00028:10-90
BJ-OC-bqnc-000063:1	OC02_00032:710-760
BJ-OC-bqnc-000064:1	OC02_00034:390-530
BJ-OC-bqnc-000065:1	OC02_00043:510-580
BJ-OC-bqnc-000066:1	OC02_00045:10-140
BJ-OC-bqnc-000067:1	OC02_00045:700-780
BJ-OC-bqnc-000068:1	OC02_00047:370-590
BJ-OC-bqnc-000069:1	OC02_00048:110-220
BJ-OC-bqnc-000070:1	OC02_00050:1340-1450
BJ-OC-bqnc-000071:1	OC02_00050:1460-1760
BJ-OC-bqnc-000072:1	OC02_00053:810-1060
BJ-OC-bqnc-000073:1	OC02_00054:380-660
BJ-OC-bqnc-000074:1	OC02_00056:1140-1260
BJ-OC-bqnc-000075:1	OC02_00064:870-960
BJ-OC-bqnc-000076:1	OC02_00082:1310-1530
BJ-OC-bqnc-000077:1	OC02_00087:160-180
BJ-OC-bqnc-000078:1	OC02_00088:1620-1940
BJ-OC-bqnc-000079:1	OC02_00094:170-180
BJ-OC-bqnc-000080:1	OC02_05004:490-570
BJ-OC-bqnc-000081:1	OC02_05010:10-170
BJ-OC-bqnc-000082:1	OC02_05024:250-390
BJ-OC-bqnc-000083:1	OC02_05027:340-430
BJ-OC-bqnc-000084:1	OC02_05032:840-980
BJ-OC-bqnc-000085:1	OC03_00003:800-950
BJ-OC-bqnc-000086:1	OC03_00003:2090-2160
BJ-OC-bqnc-000087:1	OC03_00004:640-770
BJ-OC-bqnc-000088:1	OC03_00013:1110-1430
BJ-OC-bqnc-000089:1	OC03_00015:400-640
BJ-OC-bqnc-000090:1	OC03_00016:770-990
BJ-OC-bqnc-000091:1	OC03_00016:3140-3270
BJ-OC-bqnc-000092:1	OC03_00021:340-420
BJ-OC-bqnc-000093:1	OC03_00024:350-630
BJ-OC-bqnc-000094:1	OC03_00033:120-190
BJ-OC-bqnc-000095:1	OC03_00034:10-130
BJ-OC-bqnc-000096:1	OC03_00048:1390-1560
BJ-OC-bqnc-000097:1	OC03_00048:1630-1650
BJ-OC-bqnc-000098:1	OC03_00050:3150-3270
BJ-OC-bqnc-000099:1	OC03_00056:2450-2490
BJ-OC-bqnc-000100:1	OC03_01001:800-1010
BJ-OC-bqnc-000101:1	OC03_01101:1340-1430
BJ-OC-bqnc-000102:1	OC03_01105:310-400
BJ-OC-bqnc-000103:1	OC04_00006:170-520
BJ-OC-bqnc-000104:1	OC04_00006:860-900
BJ-OC-bqnc-000105:1	OC04_00009:1520-1780
BJ-OC-bqnc-000106:1	OC04_00017:860-1070
BJ-OC-bqnc-000107:1	OC04_00022:440-550
BJ-OC-bqnc-000108:1	OC04_00025:210-300
BJ-OC-bqnc-000109:1	OC04_00031:2500-2540
BJ-OC-bqnc-000110:1	OC04_00032:100-460
BJ-OC-bqnc-000111:1	OC04_00032:1240-1420
BJ-OC-bqnc-000112:1	OC04_00032:1940-2180
BJ-OC-bqnc-000113:1	OC04_00035:1570-1850
BJ-OC-bqnc-000114:1	OC04_00035:2140-2290
BJ-OC-bqnc-000115:1	OC04_00036:820-910
BJ-OC-bqnc-000116:1	OC04_00044:130-240
BJ-OC-bqnc-000117:1	OC04_00044:1050-1080
BJ-OC-bqnc-000118:1	OC04_00044:1780-2040
BJ-OC-bqnc-000119:1	OC04_00044:2190-2210
BJ-OC-bqnc-000120:1	OC04_00047:1490-1600
BJ-OC-bqnc-000121:1	OC04_00057:320-340
BJ-OC-bqnc-000122:1	OC04_01020:420-530
BJ-OC-bqnc-000123:1	OC04_01036:2430-2540
BJ-OC-bqnc-000124:1	OC04_01036:3210-3350
BJ-OC-bqnc-000125:1	OC04_01043:400-540
BJ-OC-bqnc-000126:1	OC04_01043:660-820
BJ-OC-bqnc-000127:1	OC04_01055:430-500
BJ-OC-bqnc-000128:1	OC04_01064:960-1110
BJ-OC-bqnc-000129:1	OC04_01079:2610-2760
BJ-OC-bqnc-000130:1	OC04_01080:120-300
BJ-OC-bqnc-000131:1	OC04_01094:3150-3550
BJ-OC-bqnc-000132:1	OC04_01096:1030-1150
BJ-OC-bqnc-000133:1	OC04_01096:3270-3320
BJ-OC-bqnc-000134:1	OC04_01101:410-760
BJ-OC-bqnc-000135:1	OC04_01104:80-480
BJ-OC-bqnc-000136:1	OC05_00007:1010-1110
BJ-OC-bqnc-000137:1	OC05_00015:140-270
BJ-OC-bqnc-000138:1	OC05_00017:240-260
BJ-OC-bqnc-000139:1	OC05_00026:330-490
BJ-OC-bqnc-000140:1	OC05_00037:440-680
BJ-OC-bqnc-000141:1	OC05_00039:840-940
BJ-OC-bqnc-000142:1	OC05_00042:590-670
BJ-OC-bqnc-000143:1	OC05_00045:550-860
BJ-OC-bqnc-000144:1	OC05_00046:10-340
BJ-OC-bqnc-000145:1	OC05_00047:10-550
BJ-OC-bqnc-000146:1	OC05_00052:10-410
BJ-OC-bqnc-000147:1	OC05_00054:1180-1320
BJ-OC-bqnc-000148:1	OC05_00059:670-720
BJ-OC-bqnc-000149:1	OC05_00059:1440-1640
BJ-OC-bqnc-000150:1	OC05_00060:330-370
BJ-OC-bqnc-000151:1	OC05_00060:540-700
BJ-OC-bqnc-000152:1	OC05_00060:820-1060
BJ-OC-bqnc-000153:1	OC05_00060:1070-1280
BJ-OC-bqnc-000154:1	OC05_00060:1290-1540
BJ-OC-bqnc-000155:1	OC05_00060:1550-1930
BJ-OC-bqnc-000156:1	OC05_00060:2150-2170
BJ-OC-bqnc-000157:1	OC05_00070:560-600
BJ-OC-bqnc-000158:1	OC05_00070:960-1220
BJ-OC-bqnc-000159:1	OC05_00071:660-710
BJ-OC-bqnc-000160:1	OC05_00071:1120-1350
BJ-OC-bqnc-000161:1	OC05_00072:10-50
BJ-OC-bqnc-000162:1	OC05_00073:1020-1290
BJ-OC-bqnc-000163:1	OC05_00074:1000-1080
BJ-OC-bqnc-000164:1	OC05_02000:10-110
BJ-OC-bqnc-000165:1	OC05_02000:1180-1260
BJ-OC-bqnc-000166:1	OC05_02003:1380-1460
BJ-OC-bqnc-000167:1	OC05_02016:530-570
BJ-OC-bqnc-000168:1	OC05_02025:360-470
BJ-OC-bqnc-000169:1	OC05_02032:440-530
BJ-OC-bqnc-000170:1	OC05_02033:110-170
BJ-OC-bqnc-000171:1	OC05_02038:10-80
BJ-OC-bqnc-000172:1	OC05_02038:140-170
BJ-OC-bqnc-000173:1	OC05_02041:1240-1390
BJ-OC-bqnc-000174:1	OC05_02042:760-840
BJ-OC-bqnc-000175:1	OC05_02055:1000-1080
BJ-OC-bqnc-000176:1	OC05_02073:3440-3520
BJ-OC-bqnc-000177:1	OC06_00002:520-620
BJ-OC-bqnc-000178:1	OC06_00002:810-860
BJ-OC-bqnc-000179:1	OC06_00006:510-600
BJ-OC-bqnc-000180:1	OC06_00011:1910-2190
BJ-OC-bqnc-000181:1	OC06_00011:2580-2590
BJ-OC-bqnc-000182:1	OC06_00016:960-1070
BJ-OC-bqnc-000183:1	OC06_00019:770-930
BJ-OC-bqnc-000184:1	OC06_00049:1420-1500
BJ-OC-bqnc-000185:1	OC06_00049:1510-1630
BJ-OC-bqnc-000186:1	OC06_00051:850-940
BJ-OC-bqnc-000187:1	OC06_00069:260-340
BJ-OC-bqnc-000188:1	OC06_00075:160-230
BJ-OC-bqnc-000189:1	OC06_00075:240-490
BJ-OC-bqnc-000190:1	OC06_00075:680-810
BJ-OC-bqnc-000191:1	OC06_00080:700-880
BJ-OC-bqnc-000192:1	OC06_01011:870-1100
BJ-OC-bqnc-000193:1	OC06_01015:1590-1710
BJ-OC-bqnc-000194:1	OC06_01030:1080-1100
BJ-OC-bqnc-000195:1	OC06_01032:1350-1620
BJ-OC-bqnc-000196:1	OC06_01044:1920-2070
BJ-OC-bqnc-000197:1	OC06_01054:340-450
BJ-OC-bqnc-000198:1	OC06_01057:650-730
BJ-OC-bqnc-000199:1	OC06_05005:420-510
BJ-OC-bqnc-000200:1	OC06_05007:990-1180
BJ-OC-bqnc-000201:1	OC06_05010:630-730
BJ-OC-bqnc-000202:1	OC06_05011:90-170
BJ-OC-bqnc-000203:1	OC06_05014:190-350
BJ-OC-bqnc-000204:1	OC06_05031:10-160
BJ-OC-bqnc-000205:1	OC06_05031:550-630
BJ-OC-bqnc-000206:1	OC06_05031:640-770
BJ-OC-bqnc-000207:1	OC06_05034:620-670
BJ-OC-bqnc-000208:1	OC06_05059:10-120
BJ-OC-bqnc-000209:1	OC06_05086:160-250
BJ-OC-bqnc-000210:1	OC06_05090:690-820
BJ-OC-bqnc-000211:1	OC08_00009:410-760
BJ-OC-bqnc-000212:1	OC08_00009:770-1090
BJ-OC-bqnc-000213:1	OC08_00048:470-510
BJ-OC-bqnc-000214:1	OC08_00054:210-290
BJ-OC-bqnc-000215:1	OC08_00060:480-560
BJ-OC-bqnc-000216:1	OC08_00061:350-540
BJ-OC-bqnc-000217:1	OC08_00067:10-140
BJ-OC-bqnc-000218:1	OC08_00069:740-800
BJ-OC-bqnc-000219:1	OC08_00072:80-240
BJ-OC-bqnc-000220:1	OC08_00076:500-570
BJ-OC-bqnc-000221:1	OC08_00080:10-130
BJ-OC-bqnc-000222:1	OC08_00084:810-940
BJ-OC-bqnc-000223:1	OC08_05001:270-370
BJ-OC-bqnc-000224:1	OC08_05006:750-820
BJ-OC-bqnc-000225:1	OC08_05022:110-720
BJ-OC-bqnc-000226:1	OC08_05023:520-800
BJ-OC-bqnc-000227:1	OC08_05023:1750-2040
BJ-OC-bqnc-000228:1	OC08_05033:350-510
BJ-OC-bqnc-000229:1	OC08_05044:410-450
BJ-OC-bqnc-000230:1	OC08_05058:910-1060
BJ-OC-bqnc-000231:1	OC08_05064:970-1110
BJ-OC-bqnc-000232:1	OC09_00005:120-320
BJ-OC-bqnc-000233:1	OC09_00005:1300-1460
BJ-OC-bqnc-000234:1	OC09_00007:420-530
BJ-OC-bqnc-000235:1	OC09_00012:660-910
BJ-OC-bqnc-000236:1	OC09_00016:880-1100
BJ-OC-bqnc-000237:1	OC09_00018:760-960
BJ-OC-bqnc-000238:1	OC09_00019:2190-2310
BJ-OC-bqnc-000239:1	OC09_00020:10-50
BJ-OC-bqnc-000240:1	OC09_00020:130-220
BJ-OC-bqnc-000241:1	OC09_00031:930-1150
