BJ-OC-ctrl-000001:1	OC13_02060:250-580
BJ-OC-ctrl-000003:1	OC01_04271:340-540
BJ-OC-ctrl-000006:1	OC09_10604:490-600
BJ-OC-ctrl-000014:1	OC14_08142:660-900
BJ-OC-ctrl-000021:1	OC11_01195:1120-1290
BJ-OC-ctrl-000028:1	OC09_07768:210-330
BJ-OC-ctrl-000033:1	OC06_00525:1890-2100
BJ-OC-ctrl-000039:1	OC10_03327:70-400
BJ-OC-ctrl-000044:1	OC06_04005:450-600
BJ-OC-ctrl-000050:1	OC05_00543:1930-2090
BJ-OC-ctrl-000054:1	OC01_09223:1210-1420
BJ-OC-ctrl-000062:1	OC12_01896:10-150
BJ-OC-ctrl-000064:1	OC08_02051:10-310
BJ-OC-ctrl-000070:1	OC09_13997:180-640
BJ-OC-ctrl-000073:1	OC05_00243:1530-1700
BJ-OC-ctrl-000080:1	OC02_08499:10-120
BJ-OC-ctrl-000086:1	OC09_00769:850-1010
BJ-OC-ctrl-000097:1	OC14_06432:760-890
BJ-OC-ctrl-000133:1	OC09_02473:370-480
BJ-OC-ctrl-000156:1	OC02_04203:360-480
BJ-OC-ctrl-000158:1	OC13_01707:450-760
BJ-OC-ctrl-000170:1	OC10_03155:2540-2620
BJ-OC-ctrl-000171:1	OC10_01625:440-910
BJ-OC-ctrl-000192:1	OC01_06750:340-410
BJ-OC-ctrl-000201:1	OC09_09424:10-160
BJ-OC-ctrl-000207:1	OC10_02796:1170-1420
BJ-OC-ctrl-000209:1	OC06_01376:1060-1340
BJ-OC-ctrl-000212:1	OC10_01918:10-100
BJ-OC-ctrl-000220:1	OC01_04154:280-460
BJ-OC-ctrl-000223:1	OC09_08181:1110-1360
BJ-OC-ctrl-000232:1	OC01_01009:260-330
BJ-OC-ctrl-000258:1	OC10_03360:610-820
BJ-OC-ctrl-000296:1	OC14_03918:460-710
BJ-OC-ctrl-000308:1	OC08_03777:860-1060
BJ-OC-ctrl-000313:1	OC09_04012:610-1280
BJ-OC-ctrl-000338:1	OC02_08110:880-1180
BJ-OC-ctrl-000341:1	OC09_08968:1360-1580
BJ-OC-ctrl-000356:1	OC02_08437:270-450
BJ-OC-ctrl-000375:1	OC13_02983:120-320
BJ-OC-ctrl-000386:1	OC08_03857:110-370
BJ-OC-ctrl-000408:1	OC03_01022:310-360
BJ-OC-ctrl-000419:1	OC14_01780:1280-1700
BJ-OC-ctrl-000421:1	OC01_07087:530-690
BJ-OC-ctrl-000422:1	OC14_05003:110-240
BJ-OC-ctrl-000433:1	OC02_04453:1110-1480
BJ-OC-ctrl-000443:1	OC08_00695:1360-1390
BJ-OC-ctrl-000468:1	OC10_00075:10-250
BJ-OC-ctrl-000472:1	OC05_01424:2200-2840
BJ-OC-ctrl-000493:1	OC02_08675:1440-1670
BJ-OC-ctrl-000507:1	OC12_00428:1010-1100
BJ-OC-ctrl-000530:1	OC12_05252:10-130
BJ-OC-ctrl-000532:1	OC09_03312:260-440
BJ-OC-ctrl-000537:1	OC01_04863:10-190
BJ-OC-ctrl-000541:1	OC14_06492:410-470
BJ-OC-ctrl-000544:1	OC08_04011:10-200
BJ-OC-ctrl-000574:1	OC13_03182:1080-1270
BJ-OC-ctrl-000577:1	OC01_00051:2110-2440
BJ-OC-ctrl-000578:1	OC01_05723:940-1210
BJ-OC-ctrl-000584:1	OC01_06362:700-810
BJ-OC-ctrl-000590:1	OC01_01981:200-270
BJ-OC-ctrl-000592:1	OC14_01541:80-190
BJ-OC-ctrl-000594:1	OC12_05607:1880-2240
BJ-OC-ctrl-000596:1	OC09_04406:130-280
BJ-OC-ctrl-000602:1	OC08_03545:530-590
BJ-OC-ctrl-000628:1	OC12_03559:550-620
BJ-OC-ctrl-000632:1	OC02_08228:460-580
BJ-OC-ctrl-000634:1	OC01_00459:710-880
BJ-OC-ctrl-000647:1	OC11_00475:500-790
BJ-OC-ctrl-000657:1	OC06_06568:1180-1340
BJ-OC-ctrl-000671:1	OC02_01192:320-380
BJ-OC-ctrl-000679:1	OC01_03349:220-270
BJ-OC-ctrl-000682:1	OC10_00582:850-1000
BJ-OC-ctrl-000684:1	OC04_02015:650-750
BJ-OC-ctrl-000686:1	OC14_01285:1720-1920
BJ-OC-ctrl-000719:1	OC10_01459:680-750
BJ-OC-ctrl-000723:1	OC12_01196:160-260
BJ-OC-ctrl-000730:1	OC10_00566:1240-1500
BJ-OC-ctrl-000749:1	OC12_06274:1070-1440
BJ-OC-ctrl-000762:1	OC01_06689:10-160
BJ-OC-ctrl-000763:1	OC09_10785:240-340
BJ-OC-ctrl-000764:1	OC01_00669:60-480
BJ-OC-ctrl-000769:1	OC14_08274:510-650
BJ-OC-ctrl-000774:1	OC12_06785:470-800
BJ-OC-ctrl-000786:1	OC14_06041:1090-1190
BJ-OC-ctrl-000801:1	OC04_00503:870-1110
BJ-OC-ctrl-000805:1	OC06_01960:840-970
BJ-OC-ctrl-000806:1	OC01_01430:360-660
