BJ-OC-rand-000001:1	OC04_01047:10-160
BJ-OC-rand-000002:1	OC14_02071:970-1260
BJ-OC-rand-000003:1	OC03_00844:670-850
BJ-OC-rand-000004:1	OC05_00592:1040-1110
BJ-OC-rand-000005:1	OC13_01305:760-860
BJ-OC-rand-000006:1	OC10_02380:1070-1150
BJ-OC-rand-000007:1	OC09_10074:750-930
BJ-OC-rand-000008:1	OC06_04578:180-280
BJ-OC-rand-000009:1	OC03_01374:850-1000
BJ-OC-rand-000010:1	OC14_07777:2060-2150
BJ-OC-rand-000011:1	OC01_01179:1360-1450
BJ-OC-rand-000012:1	OC06_01617:900-990
BJ-OC-rand-000013:1	OC14_02754:770-1090
BJ-OC-rand-000014:1	OC09_08646:390-670
BJ-OC-rand-000015:1	OC09_05670:2780-2980
BJ-OC-rand-000016:1	OC09_03217:260-390
BJ-OC-rand-000017:1	OC14_09902:120-300
BJ-OC-rand-000018:1	OC06_00359:700-910
BJ-OC-rand-000019:1	OC08_06029:1880-2060
BJ-OC-rand-000020:1	OC09_09396:1290-1340
BJ-OC-rand-000021:1	OC08_05729:680-1160
BJ-OC-rand-000022:1	OC09_14519:1340-1450
BJ-OC-rand-000023:1	OC09_07662:360-550
BJ-OC-rand-000024:1	OC01_03488:1200-1590
BJ-OC-rand-000025:1	OC02_06518:480-580
BJ-OC-rand-000026:1	OC14_06146:10-290
BJ-OC-rand-000027:1	OC09_01979:230-280
BJ-OC-rand-000028:1	OC14_07886:3050-3210
BJ-OC-rand-000029:1	OC10_00515:4060-4260
BJ-OC-rand-000030:1	OC09_13902:570-900
BJ-OC-rand-000031:1	OC01_04278:370-490
BJ-OC-rand-000032:1	OC10_04766:1580-1870
BJ-OC-rand-000033:1	OC08_05310:930-1020
BJ-OC-rand-000034:1	OC04_00766:760-1030
BJ-OC-rand-000035:1	OC02_03042:100-190
BJ-OC-rand-000036:1	OC09_06869:990-1260
BJ-OC-rand-000037:1	OC01_01314:750-1090
BJ-OC-rand-000038:1	OC10_02594:1970-2200
BJ-OC-rand-000039:1	OC01_08018:490-750
BJ-OC-rand-000040:1	OC08_02431:730-1040
BJ-OC-rand-000041:1	OC06_05292:10-180
