BJ-OY-bqnc-000001:1	OY01_00037:720-810
BJ-OY-bqnc-000002:1	OY01_00037:1160-1360
BJ-OY-bqnc-000003:1	OY01_00037:1790-2060
BJ-OY-bqnc-000004:1	OY01_00039:410-600
BJ-OY-bqnc-000005:1	OY01_00039:2080-2270
BJ-OY-bqnc-000006:1	OY01_00039:2280-2400
BJ-OY-bqnc-000007:1	OY01_00039:2830-2930
BJ-OY-bqnc-000008:1	OY01_00045:1830-1960
BJ-OY-bqnc-000009:1	OY01_00045:2250-2360
BJ-OY-bqnc-000010:1	OY01_00045:2370-2400
BJ-OY-bqnc-000011:1	OY01_00097:560-630
BJ-OY-bqnc-000012:1	OY01_00097:810-960
BJ-OY-bqnc-000013:1	OY01_00097:1420-1520
BJ-OY-bqnc-000014:1	OY01_00097:1700-1890
BJ-OY-bqnc-000015:1	OY01_00128:400-520
BJ-OY-bqnc-000016:1	OY01_00128:800-870
BJ-OY-bqnc-000017:1	OY01_00138:1030-1420
BJ-OY-bqnc-000018:1	OY02_00004:870-1040
BJ-OY-bqnc-000019:1	OY02_00006:1130-1310
BJ-OY-bqnc-000020:1	OY02_00011:370-540
BJ-OY-bqnc-000021:1	OY02_00011:970-1210
BJ-OY-bqnc-000022:1	OY02_00018:760-890
BJ-OY-bqnc-000023:1	OY02_00026:10-130
BJ-OY-bqnc-000024:1	OY02_00026:250-280
BJ-OY-bqnc-000025:1	OY02_00026:370-650
BJ-OY-bqnc-000026:1	OY02_00029:550-770
BJ-OY-bqnc-000027:1	OY02_00029:3140-3190
BJ-OY-bqnc-000028:1	OY02_00029:8230-8480
BJ-OY-bqnc-000029:1	OY02_00029:12060-12260
BJ-OY-bqnc-000030:1	OY02_00029:12800-12950
BJ-OY-bqnc-000031:1	OY02_00029:13670-13740
BJ-OY-bqnc-000032:1	OY02_00031:870-1070
BJ-OY-bqnc-000033:1	OY02_00031:1080-1220
BJ-OY-bqnc-000034:1	OY02_00039:270-490
BJ-OY-bqnc-000035:1	OY02_00039:500-780
BJ-OY-bqnc-000036:1	OY02_00039:1270-1380
BJ-OY-bqnc-000037:1	OY02_00039:1390-1450
BJ-OY-bqnc-000038:1	OY02_00044:4960-5110
BJ-OY-bqnc-000039:1	OY02_00047:350-390
BJ-OY-bqnc-000040:1	OY02_00048:360-420
BJ-OY-bqnc-000041:1	OY02_00060:80-200
BJ-OY-bqnc-000042:1	OY02_00067:30-70
BJ-OY-bqnc-000043:1	OY02_00067:80-270
BJ-OY-bqnc-000044:1	OY02_00067:360-460
BJ-OY-bqnc-000045:1	OY02_00073:160-330
BJ-OY-bqnc-000046:1	OY02_00075:1110-1240
BJ-OY-bqnc-000047:1	OY02_00075:2230-2290
BJ-OY-bqnc-000048:1	OY02_00077:270-310
BJ-OY-bqnc-000049:1	OY02_00077:640-680
BJ-OY-bqnc-000050:1	OY02_00077:1190-1230
BJ-OY-bqnc-000051:1	OY02_00077:2830-2970
BJ-OY-bqnc-000052:1	OY02_00077:3780-3960
BJ-OY-bqnc-000053:1	OY02_00090:810-930
BJ-OY-bqnc-000054:1	OY02_00094:710-1080
BJ-OY-bqnc-000055:1	OY02_00096:1270-1420
BJ-OY-bqnc-000056:1	OY02_00096:1880-1980
BJ-OY-bqnc-000057:1	OY02_00096:1990-2030
BJ-OY-bqnc-000058:1	OY02_00096:2110-2140
BJ-OY-bqnc-000059:1	OY02_00096:2190-2220
BJ-OY-bqnc-000060:1	OY02_00103:510-770
BJ-OY-bqnc-000061:1	OY02_00103:2560-2670
BJ-OY-bqnc-000062:1	OY02_00110:590-890
BJ-OY-bqnc-000063:1	OY02_00116:60-160
BJ-OY-bqnc-000064:1	OY03_00002:1190-1270
BJ-OY-bqnc-000065:1	OY03_00002:1280-1430
BJ-OY-bqnc-000066:1	OY03_00006:360-400
BJ-OY-bqnc-000067:1	OY03_00006:770-810
BJ-OY-bqnc-000068:1	OY03_00006:1280-1310
BJ-OY-bqnc-000069:1	OY03_00018:610-690
BJ-OY-bqnc-000070:1	OY03_00018:700-730
BJ-OY-bqnc-000071:1	OY03_00018:840-880
BJ-OY-bqnc-000072:1	OY03_00021:100-230
BJ-OY-bqnc-000073:1	OY03_00021:240-460
BJ-OY-bqnc-000074:1	OY03_00021:2060-2340
BJ-OY-bqnc-000075:1	OY03_00025:10-290
BJ-OY-bqnc-000076:1	OY03_00040:470-550
BJ-OY-bqnc-000077:1	OY03_00050:10-50
BJ-OY-bqnc-000078:1	OY03_00076:10-190
BJ-OY-bqnc-000079:1	OY03_00076:440-570
BJ-OY-bqnc-000080:1	OY03_00076:770-840
BJ-OY-bqnc-000081:1	OY03_00078:160-410
BJ-OY-bqnc-000082:1	OY03_00078:640-860
BJ-OY-bqnc-000083:1	OY03_00078:870-1060
BJ-OY-bqnc-000084:1	OY03_00078:1150-1410
BJ-OY-bqnc-000085:1	OY03_00082:10-100
BJ-OY-bqnc-000086:1	OY03_00082:2800-2890
BJ-OY-bqnc-000087:1	OY03_00082:5890-6030
BJ-OY-bqnc-000088:1	OY03_00084:780-920
BJ-OY-bqnc-000089:1	OY03_00084:1150-1220
BJ-OY-bqnc-000090:1	OY03_00084:1540-1710
BJ-OY-bqnc-000091:1	OY03_00093:1140-1290
BJ-OY-bqnc-000092:1	OY03_00093:2230-2270
BJ-OY-bqnc-000093:1	OY03_00093:2400-2410
BJ-OY-bqnc-000094:1	OY03_00096:1100-1250
BJ-OY-bqnc-000095:1	OY03_00096:1260-1470
BJ-OY-bqnc-000096:1	OY03_00096:1480-1540
BJ-OY-bqnc-000097:1	OY04_00030:150-320
BJ-OY-bqnc-000098:1	OY04_00030:490-1040
BJ-OY-bqnc-000099:1	OY04_00039:1070-1110
BJ-OY-bqnc-000100:1	OY04_00039:2440-2500
BJ-OY-bqnc-000101:1	OY04_00042:110-210
BJ-OY-bqnc-000102:1	OY04_00043:330-340
BJ-OY-bqnc-000103:1	OY04_00045:1380-1490
BJ-OY-bqnc-000104:1	OY04_00045:2510-2630
BJ-OY-bqnc-000105:1	OY04_00061:1460-1610
BJ-OY-bqnc-000106:1	OY04_00064:1290-1300
BJ-OY-bqnc-000107:1	OY04_00079:3450-3570
BJ-OY-bqnc-000108:1	OY04_00083:2940-2960
BJ-OY-bqnc-000109:1	OY04_00093:860-1080
BJ-OY-bqnc-000110:1	OY04_00093:1740-1920
BJ-OY-bqnc-000111:1	OY04_00093:1930-2030
BJ-OY-bqnc-000112:1	OY04_00093:3160-3250
BJ-OY-bqnc-000113:1	OY04_00093:3570-3710
BJ-OY-bqnc-000114:1	OY04_00093:4290-4340
BJ-OY-bqnc-000115:1	OY04_00093:4660-4750
BJ-OY-bqnc-000116:1	OY05_00001:970-1020
BJ-OY-bqnc-000117:1	OY05_00004:980-1200
BJ-OY-bqnc-000118:1	OY05_00023:10-90
BJ-OY-bqnc-000119:1	OY05_00023:2140-2380
BJ-OY-bqnc-000120:1	OY05_00026:10-30
BJ-OY-bqnc-000121:1	OY05_00026:880-1170
BJ-OY-bqnc-000122:1	OY05_00033:10-240
BJ-OY-bqnc-000123:1	OY05_00033:1870-1880
BJ-OY-bqnc-000124:1	OY05_00033:3100-3180
BJ-OY-bqnc-000125:1	OY05_00033:3190-3330
BJ-OY-bqnc-000126:1	OY05_00034:10-130
BJ-OY-bqnc-000127:1	OY05_00037:730-860
BJ-OY-bqnc-000128:1	OY05_00041:2400-2450
BJ-OY-bqnc-000129:1	OY05_00041:3160-3290
BJ-OY-bqnc-000130:1	OY05_00044:1440-1510
BJ-OY-bqnc-000131:1	OY05_00047:670-770
BJ-OY-bqnc-000132:1	OY05_00048:760-920
BJ-OY-bqnc-000133:1	OY05_00049:620-650
BJ-OY-bqnc-000134:1	OY05_00052:1160-1420
BJ-OY-bqnc-000135:1	OY05_00052:1900-2080
BJ-OY-bqnc-000136:1	OY05_00054:1310-1570
BJ-OY-bqnc-000137:1	OY05_00061:390-610
BJ-OY-bqnc-000138:1	OY05_00061:1910-1990
BJ-OY-bqnc-000139:1	OY05_00068:670-730
BJ-OY-bqnc-000140:1	OY05_00068:790-890
BJ-OY-bqnc-000141:1	OY05_00070:1890-2130
BJ-OY-bqnc-000142:1	OY05_00074:510-710
BJ-OY-bqnc-000143:1	OY05_00081:440-530
BJ-OY-bqnc-000144:1	OY05_00086:10-120
BJ-OY-bqnc-000145:1	OY05_00093:560-620
BJ-OY-bqnc-000146:1	OY05_00093:630-750
BJ-OY-bqnc-000147:1	OY05_00095:720-880
BJ-OY-bqnc-000148:1	OY05_00095:1210-1600
BJ-OY-bqnc-000149:1	OY05_00095:1610-1790
BJ-OY-bqnc-000150:1	OY05_00095:1800-1990
BJ-OY-bqnc-000151:1	OY05_00101:10-110
BJ-OY-bqnc-000152:1	OY05_00101:120-250
BJ-OY-bqnc-000153:1	OY05_00101:310-410
BJ-OY-bqnc-000154:1	OY05_00101:540-630
BJ-OY-bqnc-000155:1	OY05_00101:1170-1220
BJ-OY-bqnc-000156:1	OY05_00101:3770-4060
BJ-OY-bqnc-000157:1	OY05_00101:4340-4430
BJ-OY-bqnc-000158:1	OY05_00101:4870-4950
BJ-OY-bqnc-000159:1	OY05_00101:5140-5220
BJ-OY-bqnc-000160:1	OY05_00101:5900-6090
BJ-OY-bqnc-000161:1	OY05_00106:370-410
BJ-OY-bqnc-000162:1	OY06_00022:10-120
BJ-OY-bqnc-000163:1	OY06_00022:690-790
BJ-OY-bqnc-000164:1	OY06_00040:1410-1540
BJ-OY-bqnc-000165:1	OY06_00040:1690-2150
BJ-OY-bqnc-000166:1	OY06_00040:5180-5250
BJ-OY-bqnc-000167:1	OY06_00041:2510-2890
BJ-OY-bqnc-000168:1	OY06_00047:180-780
BJ-OY-bqnc-000169:1	OY06_00051:5480-5700
BJ-OY-bqnc-000170:1	OY06_00071:790-1330
BJ-OY-bqnc-000171:1	OY06_00082:3980-4350
BJ-OY-bqnc-000172:1	OY07_00001:140-180
BJ-OY-bqnc-000173:1	OY07_00009:560-640
BJ-OY-bqnc-000174:1	OY07_00009:2030-2070
BJ-OY-bqnc-000175:1	OY07_00009:3390-3470
BJ-OY-bqnc-000176:1	OY07_00018:450-740
BJ-OY-bqnc-000177:1	OY07_00020:390-540
BJ-OY-bqnc-000178:1	OY07_00026:1620-1760
BJ-OY-bqnc-000179:1	OY07_00034:970-1060
BJ-OY-bqnc-000180:1	OY07_00038:1110-1240
BJ-OY-bqnc-000181:1	OY07_00038:1490-1660
BJ-OY-bqnc-000182:1	OY07_00038:2150-2210
BJ-OY-bqnc-000183:1	OY07_00038:2220-2280
BJ-OY-bqnc-000184:1	OY07_00038:2430-2580
BJ-OY-bqnc-000185:1	OY07_00049:170-280
BJ-OY-bqnc-000186:1	OY07_00054:150-410
BJ-OY-bqnc-000187:1	OY07_00056:130-410
BJ-OY-bqnc-000188:1	OY07_00056:570-670
BJ-OY-bqnc-000189:1	OY07_00080:410-500
BJ-OY-bqnc-000190:1	OY07_00080:4490-4580
BJ-OY-bqnc-000191:1	OY07_00080:4590-4650
BJ-OY-bqnc-000192:1	OY07_00083:13150-13270
BJ-OY-bqnc-000193:1	OY07_00083:15180-15300
BJ-OY-bqnc-000194:1	OY07_00086:140-260
BJ-OY-bqnc-000195:1	OY08_00001:1150-1220
BJ-OY-bqnc-000196:1	OY08_00001:4370-4490
BJ-OY-bqnc-000197:1	OY08_00001:6120-6160
BJ-OY-bqnc-000198:1	OY08_00004:1780-1860
BJ-OY-bqnc-000199:1	OY08_00004:1950-2030
BJ-OY-bqnc-000200:1	OY08_00004:2340-2440
BJ-OY-bqnc-000201:1	OY08_00004:4340-4430
BJ-OY-bqnc-000202:1	OY08_00010:90-100
BJ-OY-bqnc-000203:1	OY08_00016:320-360
BJ-OY-bqnc-000204:1	OY08_00016:740-800
BJ-OY-bqnc-000205:1	OY08_00016:870-1010
BJ-OY-bqnc-000206:1	OY08_00016:1020-1070
BJ-OY-bqnc-000207:1	OY08_00016:5410-5540
BJ-OY-bqnc-000208:1	OY08_00016:5550-5570
BJ-OY-bqnc-000209:1	OY08_00016:5580-5630
BJ-OY-bqnc-000210:1	OY08_00016:5920-6460
BJ-OY-bqnc-000211:1	OY08_00019:270-400
BJ-OY-bqnc-000212:1	OY08_00019:650-720
BJ-OY-bqnc-000213:1	OY08_00019:730-810
BJ-OY-bqnc-000214:1	OY08_00021:10-350
BJ-OY-bqnc-000215:1	OY08_00021:460-520
BJ-OY-bqnc-000216:1	OY08_00021:530-580
BJ-OY-bqnc-000217:1	OY08_00021:1160-1250
BJ-OY-bqnc-000218:1	OY08_00041:10-280
BJ-OY-bqnc-000219:1	OY08_00042:80-110
BJ-OY-bqnc-000220:1	OY08_00042:120-140
