BJ-OY-ctrl-000006:1	OY03_08252:10-160
BJ-OY-ctrl-000011:1	OY07_02902:2860-3060
BJ-OY-ctrl-000016:1	OY03_06463:720-880
BJ-OY-ctrl-000025:1	OY14_50679:3230-3270
BJ-OY-ctrl-000030:1	OY05_05049:11150-11310
BJ-OY-ctrl-000032:1	OY03_10030:950-1260
BJ-OY-ctrl-000033:1	OY14_06546:11180-11520
BJ-OY-ctrl-000036:1	OY14_06230:240-420
BJ-OY-ctrl-000049:1	OY14_15795:8440-8740
BJ-OY-ctrl-000052:1	OY14_41409:2350-2540
BJ-OY-ctrl-000059:1	OY11_04074:1090-1300
BJ-OY-ctrl-000061:1	OY04_02691:21110-21440
BJ-OY-ctrl-000067:1	OY14_34999:1180-1310
BJ-OY-ctrl-000071:1	OY03_05752:930-1030
BJ-OY-ctrl-000073:1	OY15_17316:10-140
BJ-OY-ctrl-000075:1	OY15_20944:2480-2710
BJ-OY-ctrl-000081:1	OY14_35443:1080-1210
BJ-OY-ctrl-000082:1	OY04_06554:1100-1280
BJ-OY-ctrl-000090:1	OY15_03033:860-980
BJ-OY-ctrl-000110:1	OY05_05717:1870-2040
BJ-OY-ctrl-000111:1	OY15_08327:10-270
BJ-OY-ctrl-000123:1	OY14_40245:7360-7430
BJ-OY-ctrl-000125:1	OY14_45846:1280-1420
BJ-OY-ctrl-000129:1	OY15_12218:9260-9360
BJ-OY-ctrl-000131:1	OY15_12860:190-700
BJ-OY-ctrl-000133:1	OY14_12060:4440-4500
BJ-OY-ctrl-000140:1	OY15_13382:3320-3520
BJ-OY-ctrl-000153:1	OY14_46015:10-540
BJ-OY-ctrl-000167:1	OY14_52808:10-150
BJ-OY-ctrl-000171:1	OY04_02942:3920-4060
BJ-OY-ctrl-000175:1	OY14_26288:5170-5350
BJ-OY-ctrl-000181:1	OY10_00083:1190-1290
BJ-OY-ctrl-000184:1	OY14_04492:860-1040
BJ-OY-ctrl-000186:1	OY07_01407:3320-3740
BJ-OY-ctrl-000190:1	OY14_08610:10-340
BJ-OY-ctrl-000206:1	OY14_25200:3400-3840
BJ-OY-ctrl-000223:1	OY04_08586:4780-4920
BJ-OY-ctrl-000226:1	OY14_00929:19640-20140
BJ-OY-ctrl-000232:1	OY01_01111:1520-1660
BJ-OY-ctrl-000235:1	OY07_00426:960-1160
BJ-OY-ctrl-000237:1	OY15_10059:5710-5880
BJ-OY-ctrl-000243:1	OY04_07733:13830-13870
BJ-OY-ctrl-000245:1	OY14_46135:220-690
BJ-OY-ctrl-000246:1	OY15_17776:320-380
BJ-OY-ctrl-000247:1	OY14_41575:260-330
BJ-OY-ctrl-000251:1	OY04_08668:1040-1090
BJ-OY-ctrl-000253:1	OY14_35764:5100-5290
BJ-OY-ctrl-000254:1	OY08_01374:1190-1380
BJ-OY-ctrl-000265:1	OY14_52686:100-190
BJ-OY-ctrl-000274:1	OY14_32851:730-870
BJ-OY-ctrl-000276:1	OY11_06234:300-510
BJ-OY-ctrl-000287:1	OY14_12766:2850-3030
BJ-OY-ctrl-000298:1	OY11_03326:1680-1870
BJ-OY-ctrl-000310:1	OY14_04924:3980-4160
BJ-OY-ctrl-000321:1	OY11_09233:4530-4710
BJ-OY-ctrl-000328:1	OY15_19197:6510-6570
BJ-OY-ctrl-000333:1	OY03_06398:1930-1990
BJ-OY-ctrl-000347:1	OY14_40353:120-190
BJ-OY-ctrl-000352:1	OY11_02942:360-660
BJ-OY-ctrl-000358:1	OY04_05165:10-100
BJ-OY-ctrl-000360:1	OY14_23034:3560-3660
BJ-OY-ctrl-000364:1	OY14_27558:14290-14640
BJ-OY-ctrl-000368:1	OY15_12567:8830-8950
BJ-OY-ctrl-000369:1	OY14_19297:250-350
BJ-OY-ctrl-000374:1	OY14_09790:10-110
BJ-OY-ctrl-000380:1	OY15_04507:4770-4870
BJ-OY-ctrl-000387:1	OY11_09843:200-360
BJ-OY-ctrl-000392:1	OY03_08407:1440-1620
BJ-OY-ctrl-000393:1	OY14_44744:4310-4400
BJ-OY-ctrl-000394:1	OY14_52296:530-770
BJ-OY-ctrl-000400:1	OY14_40490:690-780
BJ-OY-ctrl-000401:1	OY04_01634:70-160
BJ-OY-ctrl-000413:1	OY08_00663:4870-4980
BJ-OY-ctrl-000425:1	OY14_04560:1340-1590
BJ-OY-ctrl-000436:1	OY15_20741:10-120
BJ-OY-ctrl-000443:1	OY04_07016:10240-10310
BJ-OY-ctrl-000447:1	OY04_04231:1450-1840
BJ-OY-ctrl-000450:1	OY07_01332:1150-1330
BJ-OY-ctrl-000453:1	OY15_17336:22490-22900
BJ-OY-ctrl-000460:1	OY08_00073:5510-5800
BJ-OY-ctrl-000462:1	OY14_37474:6770-6960
BJ-OY-ctrl-000468:1	OY14_18543:270-340
BJ-OY-ctrl-000479:1	OY03_10019:4740-4830
BJ-OY-ctrl-000481:1	OY11_04286:1990-2360
BJ-OY-ctrl-000490:1	OY14_23269:570-670
BJ-OY-ctrl-000497:1	OY03_07529:900-1050
BJ-OY-ctrl-000502:1	OY03_11581:6440-6580
BJ-OY-ctrl-000505:1	OY04_07656:5350-5610
BJ-OY-ctrl-000507:1	OY13_03564:5570-5820
BJ-OY-ctrl-000530:1	OY05_00101:3620-3760
BJ-OY-ctrl-000535:1	OY04_02423:10020-10170
BJ-OY-ctrl-000555:1	OY14_34949:2960-3130
BJ-OY-ctrl-000560:1	OY05_05292:1650-1840
BJ-OY-ctrl-000573:1	OY03_01498:1520-1750
BJ-OY-ctrl-000600:1	OY03_05751:1950-2080
BJ-OY-ctrl-000601:1	OY04_03715:160-360
BJ-OY-ctrl-000606:1	OY04_06749:12950-13060
BJ-OY-ctrl-000614:1	OY13_02776:11810-12120
BJ-OY-ctrl-000615:1	OY15_10565:810-1310
BJ-OY-ctrl-000625:1	OY05_04465:5910-6300
BJ-OY-ctrl-000640:1	OY14_37243:1710-1860
BJ-OY-ctrl-000648:1	OY14_41582:1070-1200
BJ-OY-ctrl-000663:1	OY14_34211:1460-1580
BJ-OY-ctrl-000664:1	OY07_02362:1060-1130
BJ-OY-ctrl-000665:1	OY14_48761:3670-3880
BJ-OY-ctrl-000666:1	OY14_33913:10-90
BJ-OY-ctrl-000667:1	OY14_45917:880-1030
BJ-OY-ctrl-000673:1	OY14_11529:130-250
BJ-OY-ctrl-000679:1	OY13_05003:16710-16900
BJ-OY-ctrl-000680:1	OY14_47033:3170-3400
BJ-OY-ctrl-000683:1	OY15_04748:160-820
BJ-OY-ctrl-000690:1	OY03_09790:290-320
BJ-OY-ctrl-000691:1	OY14_31092:180-280
BJ-OY-ctrl-000692:1	OY04_04793:240-470
BJ-OY-ctrl-000701:1	OY14_09282:1010-1050
BJ-OY-ctrl-000703:1	OY15_08327:2120-2310
BJ-OY-ctrl-000711:1	OY15_11909:5480-5830
BJ-OY-ctrl-000715:1	OY14_07214:10-320
BJ-OY-ctrl-000727:1	OY05_00687:6520-6590
BJ-OY-ctrl-000736:1	OY04_06204:13960-14420
BJ-OY-ctrl-000739:1	OY05_07292:2400-2610
BJ-OY-ctrl-000741:1	OY03_08839:70-190
BJ-OY-ctrl-000750:1	OY04_01312:7890-7960
BJ-OY-ctrl-000757:1	OY03_06542:1230-1500
BJ-OY-ctrl-000762:1	OY14_15856:180-280
BJ-OY-ctrl-000778:1	OY15_06509:10790-11000
BJ-OY-ctrl-000779:1	OY14_05570:5620-5700
BJ-OY-ctrl-000780:1	OY15_20309:1250-1280
BJ-OY-ctrl-000786:1	OY08_00924:6130-6380
BJ-OY-ctrl-000803:1	OY03_05579:220-290
BJ-OY-ctrl-000804:1	OY14_09848:800-990
BJ-OY-ctrl-000805:1	OY03_03517:540-800
BJ-OY-ctrl-000808:1	OY14_41250:480-640
BJ-OY-ctrl-000811:1	OY05_05846:1270-1340
BJ-OY-ctrl-000815:1	OY14_33435:2050-2080
BJ-OY-ctrl-000820:1	OY05_06603:10-170
BJ-OY-ctrl-000823:1	OY14_15397:310-390
BJ-OY-ctrl-000826:1	OY15_11337:4800-4950
BJ-OY-ctrl-000831:1	OY11_00947:1560-1780
BJ-OY-ctrl-000834:1	OY14_46113:710-760
BJ-OY-ctrl-000840:1	OY13_06252:10-130
BJ-OY-ctrl-000848:1	OY04_03769:5880-5980
BJ-OY-ctrl-000849:1	OY14_35885:2870-2960
BJ-OY-ctrl-000879:1	OY13_06815:3830-3950
BJ-OY-ctrl-000882:1	OY14_29640:5550-5690
BJ-OY-ctrl-000885:1	OY05_02529:1200-1360
BJ-OY-ctrl-000886:1	OY14_33866:10-160
BJ-OY-ctrl-000893:1	OY13_07035:440-560
BJ-OY-ctrl-000894:1	OY14_47883:11270-11460
BJ-OY-ctrl-000896:1	OY14_24434:8780-8990
BJ-OY-ctrl-000909:1	OY03_02456:3650-3820
BJ-OY-ctrl-000953:1	OY05_01327:1510-1770
BJ-OY-ctrl-000959:1	OY03_07710:170-290
BJ-OY-ctrl-000970:1	OY05_02858:140-310
BJ-OY-ctrl-000973:1	OY03_05642:4190-4450
BJ-OY-ctrl-000993:1	OY14_46893:7850-7910
BJ-OY-ctrl-000994:1	OY15_10658:310-560
BJ-OY-ctrl-000995:1	OY14_27187:540-770
BJ-OY-ctrl-001000:1	OY04_07084:3470-3550
BJ-OY-ctrl-001002:1	OY13_04816:3490-3650
BJ-OY-ctrl-001010:1	OY03_10875:1340-1680
BJ-OY-ctrl-001013:1	OY15_19334:7160-7260
BJ-OY-ctrl-001016:1	OY11_07298:3150-3230
BJ-OY-ctrl-001018:1	OY11_08369:6450-6720
BJ-OY-ctrl-001021:1	OY15_19746:210-330
BJ-OY-ctrl-001031:1	OY15_00537:2190-2340
BJ-OY-ctrl-001034:1	OY14_27101:10-140
BJ-OY-ctrl-001045:1	OY14_22931:580-680
BJ-OY-ctrl-001051:1	OY14_22371:460-570
BJ-OY-ctrl-001054:1	OY07_01510:10510-10810
BJ-OY-ctrl-001056:1	OY14_25280:10-110
BJ-OY-ctrl-001057:1	OY03_07071:1390-1550
BJ-OY-ctrl-001069:1	OY14_15448:320-380
BJ-OY-ctrl-001071:1	OY02_00764:950-1080
BJ-OY-ctrl-001074:1	OY14_52964:4000-4050
BJ-OY-ctrl-001076:1	OY03_08387:680-970
BJ-OY-ctrl-001083:1	OY04_02768:2850-3140
BJ-OY-ctrl-001089:1	OY14_16561:850-1020
BJ-OY-ctrl-001094:1	OY03_09369:2970-3280
BJ-OY-ctrl-001098:1	OY04_08047:2540-2630
BJ-OY-ctrl-001107:1	OY14_15466:860-1010
BJ-OY-ctrl-001113:1	OY14_01295:800-920
BJ-OY-ctrl-001118:1	OY14_34860:8350-8400
BJ-OY-ctrl-001126:1	OY15_08473:420-660
BJ-OY-ctrl-001129:1	OY14_31372:260-410
BJ-OY-ctrl-001134:1	OY04_04946:800-1120
BJ-OY-ctrl-001136:1	OY14_47282:2660-3010
BJ-OY-ctrl-001141:1	OY14_24288:740-950
BJ-OY-ctrl-001147:1	OY13_03501:4180-4370
BJ-OY-ctrl-001149:1	OY14_40204:3480-3650
BJ-OY-ctrl-001157:1	OY14_48606:580-790
BJ-OY-ctrl-001164:1	OY11_04711:10-120
BJ-OY-ctrl-001171:1	OY04_03519:12380-12480
BJ-OY-ctrl-001172:1	OY14_07144:11430-11500
BJ-OY-ctrl-001181:1	OY14_30466:4880-4930
BJ-OY-ctrl-001183:1	OY14_27084:390-490
BJ-OY-ctrl-001189:1	OY14_02078:8490-8720
BJ-OY-ctrl-001192:1	OY13_04775:9420-9510
BJ-OY-ctrl-001194:1	OY14_53708:1320-1390
BJ-OY-ctrl-001204:1	OY14_48934:1180-1250
BJ-OY-ctrl-001211:1	OY15_00777:590-620
BJ-OY-ctrl-001214:1	OY15_02864:4220-4480
BJ-OY-ctrl-001217:1	OY14_53609:2350-2560
BJ-OY-ctrl-001226:1	OY14_22239:2080-2220
BJ-OY-ctrl-001227:1	OY14_18697:9390-9500
BJ-OY-ctrl-001230:1	OY14_29274:1980-2090
BJ-OY-ctrl-001232:1	OY14_12410:4880-5000
BJ-OY-ctrl-001262:1	OY01_02088:1040-1120
BJ-OY-ctrl-001271:1	OY15_20992:430-510
BJ-OY-ctrl-001274:1	OY05_06012:1840-1970
BJ-OY-ctrl-001277:1	OY03_07359:2510-2630
BJ-OY-ctrl-001288:1	OY04_07603:210-550
BJ-OY-ctrl-001290:1	OY14_27059:4530-4890
BJ-OY-ctrl-001291:1	OY14_25545:220-320
BJ-OY-ctrl-001293:1	OY04_07581:2910-3320
