BJ-OY-rand-000001:1	OY03_09165:4350-4430
BJ-OY-rand-000003:1	OY03_05141:2950-3060
BJ-OY-rand-000004:1	OY15_18203:2840-3090
BJ-OY-rand-000005:1	OY14_24279:2830-2960
BJ-OY-rand-000007:1	OY03_06301:4070-4340
BJ-OY-rand-000008:1	OY15_00681:100-260
BJ-OY-rand-000009:1	OY04_07763:140-400
BJ-OY-rand-000010:1	OY07_02924:1080-1180
BJ-OY-rand-000011:1	OY14_12281:10-190
BJ-OY-rand-000012:1	OY06_01791:10-170
BJ-OY-rand-000013:1	OY05_04238:5550-5620
BJ-OY-rand-000014:1	OY14_44919:10730-11190
BJ-OY-rand-000015:1	OY13_01258:3810-3970
BJ-OY-rand-000016:1	OY15_00722:10-220
BJ-OY-rand-000017:1	OY15_10357:13790-13880
BJ-OY-rand-000018:1	OY05_00705:310-500
BJ-OY-rand-000019:1	OY14_47036:1510-1660
BJ-OY-rand-000020:1	OY15_07641:1340-1470
BJ-OY-rand-000021:1	OY03_03889:3200-3330
BJ-OY-rand-000023:1	OY15_20708:410-530
BJ-OY-rand-000024:1	OY14_06774:2230-2540
BJ-OY-rand-000025:1	OY14_29429:250-330
BJ-OY-rand-000026:1	OY14_04137:10-180
BJ-OY-rand-000028:1	OY15_22229:10-190
BJ-OY-rand-000030:1	OY15_16291:3450-3680
BJ-OY-rand-000032:1	OY15_19429:200-370
BJ-OY-rand-000033:1	OY02_00341:440-610
BJ-OY-rand-000034:1	OY14_32734:680-810
BJ-OY-rand-000035:1	OY03_07229:1550-1750
BJ-OY-rand-000036:1	OY15_08027:2690-3000
BJ-OY-rand-000037:1	OY14_04158:1140-1690
BJ-OY-rand-000038:1	OY14_00455:1020-1140
BJ-OY-rand-000039:1	OY11_05099:2880-3150
BJ-OY-rand-000040:1	OY15_19890:2030-2070
BJ-OY-rand-000041:1	OY05_05049:6640-6800
BJ-OY-rand-000042:1	OY03_05636:2670-2750
BJ-OY-rand-000043:1	OY14_41490:3270-3340
BJ-OY-rand-000044:1	OY13_03229:210-350
BJ-OY-rand-000045:1	OY13_06705:340-770
BJ-OY-rand-000046:1	OY06_01600:2590-3150
BJ-OY-rand-000047:1	OY08_00540:1050-1280
BJ-OY-rand-000048:1	OY14_30469:1520-1560
BJ-OY-rand-000049:1	OY13_00270:130-330
BJ-OY-rand-000050:1	OY15_20282:50-130
BJ-OY-rand-000051:1	OY14_12386:13170-13310
BJ-OY-rand-000052:1	OY06_01387:12450-12660
BJ-OY-rand-000053:1	OY14_42224:1190-1310
BJ-OY-rand-000054:1	OY14_51853:2310-2670
BJ-OY-rand-000056:1	OY14_04425:760-790
BJ-OY-rand-000057:1	OY14_24325:1330-1730
BJ-OY-rand-000058:1	OY13_00571:4640-4790
BJ-OY-rand-000059:1	OY15_09981:660-840
BJ-OY-rand-000060:1	OY14_23346:3230-3390
BJ-OY-rand-000061:1	OY14_28891:1280-1490
BJ-OY-rand-000062:1	OY14_07484:1930-2670
BJ-OY-rand-000063:1	OY14_04297:13390-13480
BJ-OY-rand-000064:1	OY15_22761:50-190
BJ-OY-rand-000065:1	OY01_03530:1030-1240
BJ-OY-rand-000066:1	OY02_00094:1090-1640
BJ-OY-rand-000068:1	OY14_10348:560-620
BJ-OY-rand-000069:1	OY04_05252:1220-1400
BJ-OY-rand-000070:1	OY15_09060:1420-1530
BJ-OY-rand-000071:1	OY14_16472:3610-3760
BJ-OY-rand-000072:1	OY14_53983:60-120
BJ-OY-rand-000073:1	OY13_06480:10-260
BJ-OY-rand-000074:1	OY15_14182:5160-5380
BJ-OY-rand-000075:1	OY07_00587:450-630
BJ-OY-rand-000076:1	OY15_01895:240-310
BJ-OY-rand-000077:1	OY04_03782:20710-20810
BJ-OY-rand-000078:1	OY13_06592:11770-11930
BJ-OY-rand-000080:1	OY14_32588:10-110
BJ-OY-rand-000081:1	OY03_01451:10-50
BJ-OY-rand-000082:1	OY05_01005:1880-1990
BJ-OY-rand-000083:1	OY15_12388:4330-4480
BJ-OY-rand-000084:1	OY07_00417:4150-4350
BJ-OY-rand-000085:1	OY15_16022:10-120
BJ-OY-rand-000086:1	OY14_01153:180-290
BJ-OY-rand-000087:1	OY04_06245:4970-5070
BJ-OY-rand-000088:1	OY07_02098:2170-2430
BJ-OY-rand-000089:1	OY08_01186:1820-2140
BJ-OY-rand-000090:1	OY14_09246:3100-3660
BJ-OY-rand-000091:1	OY13_07689:830-900
BJ-OY-rand-000093:1	OY14_30615:320-430
BJ-OY-rand-000094:1	OY14_48523:320-580
BJ-OY-rand-000095:1	OY05_02551:750-1040
BJ-OY-rand-000096:1	OY14_40829:5040-5320
BJ-OY-rand-000097:1	OY13_03881:2950-3230
BJ-OY-rand-000098:1	OY14_49460:650-860
BJ-OY-rand-000099:1	OY04_08840:1390-1550
BJ-OY-rand-000100:1	OY14_42963:560-690
BJ-OY-rand-000101:1	OY11_01156:550-750
BJ-OY-rand-000102:1	OY04_03875:600-760
BJ-OY-rand-000103:1	OY05_03076:3440-3670
BJ-OY-rand-000104:1	OY11_09781:2790-2870
BJ-OY-rand-000105:1	OY11_05859:160-250
BJ-OY-rand-000106:1	OY06_00609:470-660
BJ-OY-rand-000107:1	OY15_01975:5770-5860
BJ-OY-rand-000108:1	OY05_02616:2360-2520
BJ-OY-rand-000109:1	OY01_01749:1660-1750
BJ-OY-rand-000110:1	OY07_02613:3510-3610
BJ-OY-rand-000111:1	OY14_12065:5900-6180
BJ-OY-rand-000112:1	OY14_40279:1250-1550
BJ-OY-rand-000113:1	OY14_23915:1040-1130
BJ-OY-rand-000114:1	OY15_17732:2090-2290
BJ-OY-rand-000115:1	OY04_05813:5330-5510
BJ-OY-rand-000116:1	OY03_10629:980-1160
BJ-OY-rand-000117:1	OY03_05919:710-800
BJ-OY-rand-000118:1	OY15_03739:600-760
BJ-OY-rand-000119:1	OY01_02867:300-430
BJ-OY-rand-000120:1	OY03_05162:820-970
BJ-OY-rand-000121:1	OY14_48356:920-1130
BJ-OY-rand-000122:1	OY15_18123:700-780
BJ-OY-rand-000123:1	OY14_21648:880-1040
BJ-OY-rand-000124:1	OY11_06057:10-80
BJ-OY-rand-000125:1	OY04_08296:7330-7410
BJ-OY-rand-000126:1	OY14_48008:1830-2040
BJ-OY-rand-000127:1	OY15_05898:9210-9260
BJ-OY-rand-000128:1	OY15_19594:1740-2160
BJ-OY-rand-000129:1	OY15_10651:550-720
BJ-OY-rand-000130:1	OY13_04160:1590-1720
BJ-OY-rand-000131:1	OY11_07347:580-670
BJ-OY-rand-000132:1	OY14_34095:300-790
BJ-OY-rand-000133:1	OY14_36364:210-420
BJ-OY-rand-000134:1	OY15_12451:660-1130
BJ-OY-rand-000135:1	OY14_52605:1470-1570
BJ-OY-rand-000137:1	OY04_09114:760-1090
BJ-OY-rand-000139:1	OY15_06308:6240-6310
BJ-OY-rand-000140:1	OY14_15389:390-470
BJ-OY-rand-000141:1	OY07_02812:7450-7560
