NC-PED-rand-000001	a4792137-r0000003		20111231-041254
NC-PED-rand-000002	a4505030-r0000005		20101117-001828
NC-PED-rand-000003	a0000351-r0011767		20121121-002033
NC-PED-rand-000004	a4740376-r0000073		20120915-031626
NC-PED-rand-000005	a4916041-r0000021		20130902-215935
NC-PED-rand-000006	a0441253-r0008426		20130903-005140
NC-PED-rand-000007	a5114250-r0000046		20131006-191909
NC-PED-rand-000008	a5153289-r0000045		20131109-010037
NC-PED-rand-000009	a1268613-r0000194		20110412-221915
NC-PED-rand-000010	a4461304-r0000002		20100914-212641
NC-PED-rand-000011	a0561481-r0000789		20121219-012746
NC-PED-rand-000012	a0273654-r0000032		20100502-034800
NC-PED-rand-000013	a0480340-r1822277		20130827-021914
NC-PED-rand-000014	a3951928-r0000008		20100710-030209
NC-PED-rand-000015	a4516488-r0012782		20120919-235717
NC-PED-rand-000016	a0480340-r1219995		20120711-011126
NC-PED-rand-000017	a5179191-r0000115		20140201-125458
NC-PED-rand-000018	a0000490-r0000090		20081120-231726
NC-PED-rand-000019	a5021177-r0000005		20130311-000546
NC-PED-rand-000020	a5037699-r0000409		20130910-225942
NC-PED-rand-000021	a4490693-r0002334		20130730-233652
NC-PED-rand-000022	a4558015-r0002278		20120122-200354
NC-PED-rand-000023	a4851743-r0000150		20120723-232332
NC-PED-rand-000024	a0455508-r0001502		20121224-165724
NC-PED-rand-000025	a4664212-r0002479		20111225-091547
NC-PED-rand-000026	a4530456-r0000012		20120806-025425
NC-PED-rand-000027	a4263171-r0000096		20130812-004947
NC-PED-rand-000028	a4341751-r0000009		20100820-125031
NC-PED-rand-000029	a4514467-r0000001		20101201-224552
NC-PED-rand-000030	a4273822-r0000109		20100810-182116
NC-PED-rand-000031	a4986852-r0000115		20130416-205208
NC-PED-rand-000032	a0480340-r1151097		20120526-081955
NC-PED-rand-000033	a0794690-r0005104		20130505-222156
NC-PED-rand-000034	a3889408-r0009038		20100712-103145
NC-PED-rand-000035	a0001552-r0000018		20081107-194748
NC-PED-rand-000036	a4357858-r0000051		20100918-095847
NC-PED-rand-000037	a5054225-r0000299		20130826-101618
NC-PED-rand-000038	a0091096-r0000096		20111006-104821
NC-PED-rand-000039	a0103427-r0001537		20111114-205259
NC-PED-rand-000040	a4534090-r0000010		20111128-220850
NC-PED-rand-000041	a0480340-r0976398		20120213-232621
NC-PED-rand-000042	a4584850-r0007052		20110317-001411
NC-PED-rand-000043	a5104710-r0000004		20130623-141239
NC-PED-rand-000044	a0643117-r0000051		20090928-213633
NC-PED-rand-000045	a4575103-r0000821		20120905-060415
NC-PED-rand-000046	a0458399-r0000127		20140124-225735
NC-PED-rand-000047	a4799411-r0000884		20120424-005425
NC-PED-rand-000048	a0480340-r1696032		20130619-151535
NC-PED-rand-000049	a4293772-r0000165		20120320-231947
NC-PED-rand-000050	a3606356-r0000478		20130420-193700
NC-PED-rand-000051	a0307434-r0005161		20120401-215710
